iter	RMSE
0	141.1370671
1	136.1797653
2	131.538435
3	127.0038718
4	122.8224146
5	118.5811933
6	114.5754201
7	110.76161
8	106.9076461
9	103.3845335
10	99.76678056
11	96.56878247
12	93.46673729
13	90.39101079
14	87.51327328
15	84.56501309
16	81.68987685
17	78.89256779
18	76.22179791
19	73.693273
20	71.40891703
21	69.0989919
22	66.78140065
23	64.54280132
24	62.34009731
25	60.27560472
26	58.33939569
27	56.39015836
28	54.54209485
29	52.82240316
30	51.13587265
31	49.44352943
32	47.87341711
33	46.30845256
34	44.86992697
35	43.43600693
36	42.0878258
37	40.7556513
38	39.46509435
39	38.30133329
40	37.08937913
41	35.90400112
42	34.74706466
43	33.66403354
44	32.59817661
45	31.65426433
46	30.65763029
47	29.68046208
48	28.75806328
49	27.88824491
50	27.02849415
51	26.21307055
52	25.4085262
53	24.69274838
54	23.97212615
55	23.28423802
56	22.61527802
57	21.97824137
58	21.40466095
59	20.81471009
60	20.2404603
61	19.69071428
62	19.17069579
63	18.65941236
64	18.20347094
65	17.72448601
66	17.30023439
67	16.84682589
68	16.41846051
69	16.01241327
70	15.64665794
71	15.286667
72	14.91656334
73	14.57241906
74	14.22631438
75	13.90716447
76	13.64383239
77	13.37311462
78	13.08634236
79	12.81923163
80	12.56235587
81	12.31085294
82	12.0727238
83	11.86516559
84	11.65964813
85	11.46756536
86	11.26684829
87	11.07130223
88	10.87748041
89	10.70009598
90	10.52948658
91	10.34337157
92	10.18933484
93	10.03616458
94	9.896864565
95	9.751986803
96	9.615606873
97	9.493409293
98	9.349110039
99	9.232874257
100	9.117978681
101	9.015776288
102	8.920747337
103	8.827288829
104	8.741183116
105	8.63381418
106	8.535613622
107	8.456332971
108	8.382337398
109	8.299681791
110	8.234062087
111	8.15956625
112	8.100606647
113	8.040462331
114	7.969103584
115	7.910174945
116	7.845265726
117	7.775490888
118	7.721203343
119	7.675344334
120	7.638211675
121	7.58085671
122	7.541371891
123	7.483754261
124	7.421520644
125	7.380883598
126	7.339055373
127	7.301711637
128	7.256224259
129	7.218356022
130	7.184914427
131	7.155097197
132	7.121754154
133	7.084553911
134	7.055254574
135	7.012249143
136	6.968887408
137	6.931709092
138	6.901743243
139	6.871551297
140	6.845720406
141	6.817069042
142	6.782344273
143	6.743080415
144	6.707333668
145	6.668213057
146	6.631899289
147	6.609851088
148	6.587559412
149	6.544985376
150	6.51250945
151	6.486551237
152	6.462978424
153	6.440066753
154	6.412124623
155	6.387082275
156	6.355286196
157	6.326982125
158	6.308365284
159	6.283122984
160	6.258725968
161	6.224487765
162	6.203385111
163	6.176472432
164	6.15412965
165	6.137176438
166	6.11719098
167	6.096560279
168	6.076242441
169	6.066547778
170	6.048719006
171	6.027101961
172	6.003811161
173	5.975117399
174	5.963350812
175	5.944793116
176	5.924581769
177	5.910605089
178	5.885699729
179	5.864586488
180	5.838555199
181	5.816566192
182	5.792370198
183	5.771878706
184	5.758131068
185	5.739967539
186	5.724097648
187	5.710001944
188	5.695033978
189	5.675279325
190	5.651373115
191	5.640456514
192	5.620407882
193	5.605456064
194	5.587183475
195	5.564872275
196	5.554826564
197	5.544195036
198	5.519949081
199	5.510333933
200	5.501768654
201	5.483789625
202	5.476586619
203	5.448199791
204	5.43962294
205	5.422630201
206	5.404013727
207	5.393074198
208	5.383451628
209	5.369167214
210	5.361201182
211	5.343244114
212	5.324394237
213	5.306679032
214	5.292676138
215	5.270901754
216	5.251959843
217	5.243471233
218	5.235724162
219	5.215551616
220	5.209073189
221	5.192279384
222	5.171176969
223	5.160420378
224	5.143657025
225	5.137269265
226	5.120255323
227	5.098794322
228	5.09169464
229	5.080513068
230	5.059466721
231	5.038831512
232	5.024951265
233	5.020640606
234	5.013487056
235	4.991486485
236	4.986084407
237	4.976721905
238	4.971497155
239	4.966328929
240	4.961483533
241	4.940819876
242	4.936227002
243	4.927601259
244	4.913179708
245	4.899597479
246	4.89435431
247	4.887273712
248	4.871621858
249	4.863236895
250	4.850568091
251	4.839360992
252	4.830684099
253	4.813176426
254	4.809115949
255	4.800618512
256	4.786414138
257	4.769379935
258	4.767750642
259	4.754954851
260	4.737452112
261	4.725899369
262	4.71936333
263	4.706363734
264	4.692902224
265	4.687369828
266	4.683903284
267	4.678815573
268	4.658368299
269	4.65281908
270	4.634616662
271	4.619434655
272	4.615915122
273	4.606694881
274	4.599884958
275	4.588721451
276	4.568111269
277	4.565078629
278	4.5576928
279	4.542470535
280	4.52944473
281	4.523275904
282	4.515468753
283	4.495805313
284	4.493001681
285	4.482905106
286	4.461171185
287	4.452639418
288	4.449109044
289	4.434832575
290	4.41968885
291	4.401371548
292	4.388990067
293	4.3795854
294	4.375854627
295	4.372972908
296	4.360513837
297	4.351612667
298	4.338250351
299	4.331719695
300	4.330211653
301	4.315073829
302	4.306032943
303	4.298134962
304	4.285480912
305	4.271423073
306	4.265228671
307	4.256585063
308	4.243965983
309	4.231797042
310	4.230683987
311	4.225222872
312	4.215384596
313	4.204978708
314	4.185448157
315	4.175805473
316	4.169313571
317	4.1661595
318	4.153275323
319	4.13979263
320	4.123292597
321	4.108195047
322	4.098406681
323	4.087590482
324	4.083813111
325	4.072587582
326	4.062163666
327	4.043885065
328	4.038642102
329	4.029107341
330	4.018598515
331	4.009670779
332	3.999140098
333	3.988382576
334	3.984674596
335	3.974730014
336	3.960992529
337	3.957092649
338	3.951343234
339	3.944124898
340	3.94069928
341	3.939016878
342	3.936937488
343	3.932051028
344	3.920821236
345	3.914533578
346	3.898874784
347	3.897321512
348	3.88399617
349	3.871510919
350	3.865881171
351	3.857455199
352	3.844911338
353	3.835651387
354	3.826062093
355	3.820902111
356	3.815050096
357	3.813594533
358	3.799273578
359	3.793517229
360	3.789463821
361	3.787873285
362	3.780138825
363	3.767384146
364	3.755668286
365	3.748987347
366	3.740273559
367	3.733576672
368	3.724605392
369	3.721293789
370	3.715165162
371	3.705010618
372	3.692979069
373	3.683209309
374	3.670565101
375	3.667653592
376	3.662894564
377	3.656336978
378	3.643380899
379	3.639312407
380	3.627181102
381	3.614499355
382	3.601320956
383	3.597288426
384	3.591605178
385	3.580873084
386	3.577651303
387	3.57388766
388	3.563403462
389	3.55882637
390	3.547467108
391	3.543351171
392	3.533183624
393	3.528059193
394	3.517859913
395	3.50612087
396	3.495432402
397	3.485882772
398	3.484623705
399	3.481482788
400	3.472691103
401	3.465482879
402	3.4569358
403	3.456119173
404	3.454965669
405	3.446738976
406	3.438714109
407	3.430468369
408	3.42073941
409	3.414370001
410	3.412912747
411	3.40211315
412	3.394514578
413	3.386351893
414	3.382013707
415	3.375446267
416	3.37403047
417	3.36787965
418	3.360610192
419	3.352302833
420	3.344104561
421	3.337954704
422	3.335274118
423	3.333977526
424	3.327806324
425	3.320751206
426	3.311912139
427	3.311280813
428	3.301713775
429	3.296022478
430	3.294125602
431	3.28621285
432	3.282304137
433	3.279253688
434	3.272698699
435	3.26774805
436	3.258198045
437	3.25494256
438	3.248622116
439	3.240177482
440	3.234387356
441	3.227502721
442	3.224526719
443	3.217845825
444	3.209758238
445	3.202585025
446	3.201448898
447	3.198835003
448	3.197754986
449	3.1888173
450	3.17909988
451	3.171280239
452	3.163550579
453	3.1580726
454	3.151448425
455	3.14703119
456	3.144702581
457	3.139706758
458	3.133928322
459	3.131805039
460	3.129039804
461	3.119407329
462	3.110843059
463	3.104690073
464	3.098123258
465	3.094460941
466	3.088427989
467	3.085420132
468	3.081484297
469	3.075987924
470	3.067165866
471	3.0567016
472	3.054077715
473	3.0476935
474	3.043243508
